Titulo,ResumenEs,ResumenEn,Fecha,Link,Image
"¡AClimate está de Aniversario! Facebook","10 años fortaleciendo la toma de decisiones de diversos públicos relacionados con la agricultura y la seguridad alimentaria en América Latina y África.💻🌱","10 years strengthening the decision making of diverse audiences related to agriculture and food security in Latin America and Africa.💻🌱","11/3/2024","https://www.facebook.com/reel/1149901142670966","https://www.aclimate.org/static/media/Logo.4e27fd7d9947997ac1a2.png"
"¡AClimate está de Aniversario! Linkedin","10 años fortaleciendo la toma de decisiones de diversos públicos relacionados con la agricultura y la seguridad alimentaria en América Latina y África.💻🌱","10 years strengthening the decision making of diverse audiences related to agriculture and food security in Latin America and Africa.💻🌱","11/3/2024","https://www.linkedin.com/posts/ciat_aclimate10aaehos-activity-7173027565375336449-aR6k","https://www.aclimate.org/static/media/Logo.4e27fd7d9947997ac1a2.png"
"📢Hoy en InnovaciónenAcción el turno es para el especial de AClimate10años 🌎","Hoy evocamos los orígenes de la plataforma y aquellas lecciones aprendidas durante los 10 años de este gran aporte desde Acción Climática ALC, para el fortalecimiento en la toma de decisiones. 🌱👩🌾","Today we evoke the origins of the platform and those lessons learned during the 10 years of this great contribution from Acción Climática ALC, for the strengthening in decision making. 🌱👩🌾","14/3/2024","https://www.linkedin.com/posts/ciat_innovaciaejnenacciaejn-aclimate10aaehos-ugcPost-7174076643622178817-xecZ?utm_source=share&utm_medium=member_desktop","https://raw.githubusercontent.com/CIAT-DAPA/aclimate_site/main/assets/VideoSS.png"
"📢¡Aniversario AClimate! #AClimate10años","Hoy te contamos 4 datos interesantes sobre nuestra plataforma. 💻🌱 Descubre qué es, cuáles son los 8 países donde tenemos presencia, cuál es su público objetivo y cuáles son aquellos atributos que nos destacan.","Today we tell you 4 interesting facts about our platform. 💻🌱Discover what it is, what are the 8 countries where we are present, what is its target audience and what are those attributes that make us stand out.","12/3/2024","https://twitter.com/BiovIntCIAT_esp/status/1767619409533678051","https://pbs.twimg.com/media/GIfYaVAXcAAQXsN?format=jpg&name=medium"
"📢#AClimate10años ¿#SabíasQue la plataforma AClimate cada vez expande más el alcance de sus pronósticos estacionales?💻🌱","Continuamos trabajando para generar información agroclimática actualizada y certera en diferentes partes del mundo🌎⬇️","We continue working to generate updated and accurate agroclimatic information in different parts of the world🌎⬇️","13/3/2024","https://twitter.com/BiovIntCIAT_esp/status/1768003125929988224","https://pbs.twimg.com/media/GIk1dOLWUAE1uPj?format=jpg&name=medium"
"📢#AClimate10años ¡De Colombia para el mundo! 🌎La Plataforma AClimate ya llegó a Angola.","Así estamos contribuyendo a la planificación estratégica del Min. de Agricultura, entidades Financieras, Secretaría de Gestión de Riesgo y más","In this way we are contributing to the strategic planning of the Ministry of Agriculture, financial entities, Risk Management Secretariat and more.","15/3/2024","https://twitter.com/BiovIntCIAT_esp/status/1768732578658259351","https://raw.githubusercontent.com/CIAT-DAPA/aclimate_site/main/assets/VideoSS2.png"
"Release of a new AClimate Python API package","Hoy, nos complace anunciar el lanzamiento de un nuevo hito en la accesibilidad y potencia analítica para los entusiastas, científicos y profesionaless: el paquete AClimate Python API. Este innovador recurso abre las puertas a información climática y agroclimática, permitiendo a la comunidad de Python sumergirse en los datos de AClimate con facilidad y eficiencia.","Today, we are pleased to announce the launch of a new milestone in accessibility and analytical power for enthusiasts, scientists and professionals: the AClimate Python API package. This innovative resource opens the doors to climate and agroclimatic information, allowing the Python community to dive into AClimate data with ease and efficiency.","31/5/2024","https://github.com/CIAT-DAPA/aclimatepyapi","https://raw.githubusercontent.com/CIAT-DAPA/aclimate_site/main/assets/PythonPlusAclimate.jpg"
"Curso-taller: Plataforma Aclimate y modelamiento de cultivos tropicales","Ponente Camilo Barrios, especialista de investigación en @bioversityciat, presente en el curso-taller: Plataforma Aclimate y Modelamiento de Cultivos Tropicales que se llevó a cabo en el auditorio de la @drasamsanmartin","Speaker Camilo Barrios, research specialist at @bioversityciat, present at the course-workshop: Aclimate Platform and Modeling of Tropical Crops that took place in the auditorium of the @drasamsanmartin.","20/6/2024","https://www.youtube.com/shorts/7gmkaHAQI4c","https://raw.githubusercontent.com/CIAT-DAPA/aclimate_site/main/assets/taller.png"
"Boletines informativos de melisa chatbot para captura de datos y pruebas en campo en Honduras","Este documento presenta los boletines informativos diseñados para explicar el uso de Melisa chatbot, una herramienta adaptada para Honduras con el fin de capturar datos meteorológicos. Se desarrollaron tres boletines específicos para diferentes tipos de estaciones: 1) estaciones meteorológicas convencionales; 2) estaciones termo-pluviométricas; 3) estaciones pluviométricas destinadas al Centro Nacional de Estudios Atmosféricos, Oceanográficos y Sísmicos (CENAOS) y la Dirección General de Recursos Hídricos (DGRH) de Honduras, y 4) pluviómetros para el Sistema de Alerta Temprana (SAT) del Municipio del Distrito Central (AMDC). Además, se documentan pruebas en campo realizadas con observadores de estaciones climatológicas utilizando el chatbot para la recolección de datos meteorológicos. Los resultados de las pruebas demostraron la eficacia y facilidad de uso del chatbot, facilitando la recolección de datos y mejorando la rapidez en la transmisión de la información hacia el sistema central de CENAOS, validando así su utilidad como herramienta de apoyo en la operativa diaria de los observadores.","This document presents the newsletters designed to explain the use of Melisa chatbot, a tool adapted for Honduras to capture meteorological data. Three specific newsletters were developed for different types of stations: 1) conventional weather stations; 2) thermo-pluviometric stations; 3) pluviometric stations for the National Center for Atmospheric, Oceanographic and Seismic Studies (CENAOS) and the General Directorate of Water Resources (DGRH) of Honduras, and 4) pluviometers for the Early Warning System (SAT) of the Central District Municipality (AMDC). In addition, field tests conducted with weather station observers using the chatbot for weather data collection are documented. The results of the tests demonstrated the effectiveness and ease of use of the chatbot, facilitating data collection and improving the speed of information transmission to the CENAOS central system, thus validating its usefulness as a support tool in the daily operations of the observers.","13/9/2024","https://hdl.handle.net/10568/152313","https://cgspace.cgiar.org/server/api/core/bitstreams/c9b36cec-aa78-430e-a189-6d8cd46ff26d/content"
"Bulletin builder architecture","El documento describe la arquitectura de software de una plataforma para la creación y difusión de boletines agroclimáticos, adaptable a distintos países, regiones y contextos locales. El sistema permite a equipos técnicos diseñar plantillas dinámicas, configurar flujos de trabajo personalizados y generar boletines ajustados a las necesidades de agricultores y otros beneficiarios. Incluye funciones como definición flexible de contenidos, procesos de revisión y aprobación, y un mecanismo de versionado que asegura trazabilidad y mejora continua. La plataforma se basa en un enfoque de Diseño Centrado en el Usuario, validando tanto las plantillas como la interfaz mediante pruebas de usabilidad. Los usuarios pueden ingresar información manualmente o importar datos desde servicios externos a través de APIs configurables, manteniendo siempre el control y la transparencia en el manejo de datos. Finalmente, los boletines pueden exportarse en formatos estándar como PDF e imágenes, y el proyecto abarca todo el ciclo de desarrollo del sistema, desde el diseño hasta la evaluación de usabilidad.","The document outlines the software architecture of a platform designed to support the creation and dissemination of agroclimatic bulletins, adaptable to different countries, regions, and local contexts. The system allows technical teams to design dynamic templates, configure customized workflows, and generate tailored bulletins for farmers and other beneficiaries. Key features include flexible content structuring, review and approval processes, and a versioning mechanism that ensures traceability and continuous improvement. The platform follows a User-Centered Design approach, validating both templates and the interface through usability testing. Users can manually enter content or import data from external services via configurable APIs, while maintaining transparency and control over data handling. Bulletins can be exported in standard formats such as PDF and image files, and the project covers the full system development lifecycle, from design and implementation to deployment and usability evaluation.","12/12/2025","https://cgspace.cgiar.org/items/764e43ef-d1d7-4151-804e-3dd0337caf31","https://cgspace.cgiar.org/server/api/core/bitstreams/9df5e03d-7f24-4fba-beba-9c7d03239eb8/content"
"Más datos, mejores decisiones: La ciencia climática al servicio de Honduras. De la captura de datos al pronóstico inteligente: Innovación, colaboración y decisiones informadas","En Honduras, la Alianza Bioversity-CIAT colabora con COPECO-CENAOS, DGRH-SERNA, sector académico, organizaciones de productores y gobiernos locales para fortalecer los servicios climáticos nacionales, integrando herramientas, datos y actores en un ﬂujo de información que conecta el campo, el pronóstico y la acción.","In Honduras, the Bioversity-CIAT Alliance collaborates with COPECO-CENAOS, DGRH-SERNA, academia, producer organizations, and local governments to strengthen national climate services, integrating tools, data, and actors into a flow of information that connects the field, forecasting, and action.","12/12/2025","https://cgspace.cgiar.org/items/1d64f620-daee-40e4-81eb-55997a36fc24","https://cgspace.cgiar.org/server/api/core/bitstreams/5c72f145-fea4-46b0-8d2c-20bcc0baf45e/content"
"AClimate Honduras","Mejora de los servicios climáticos digitales mediante la innovación y el desarrollo de capacidades en América Central","Enhancing digital climate services through innovation and capacity development in Central America","14/1/2026","https://honduras.aclimate.org/","https://www.aclimate.org/static/media/Logo.4e27fd7d9947997ac1a2.png"
"Eolo platform","¡Bienvenido a nuestra plataforma de revisión de pronósticos climáticos estacionales! Mejora tus pronósticos con análisis basados en años análogos, compara diferentes pronósticos y crea reportes climáticos detallados en minutos.","Welcome to our seasonal weather forecast review platform! Improve your forecasts with analyses based on analogous years, compare different forecasts, and create detailed weather reports in minutes.","14/1/2026","https://eolo.aclimate.org/","https://eolo.aclimate.org/logo.png"
"Release of the AClimate v3.0 documentation","Nos complace anunciar el lanzamiento de la documentación oficial de AClimate v3.0, una guía técnica integral para comprender y trabajar con la arquitectura modular de la plataforma. La documentación reúne en un solo lugar la arquitectura del sistema, el modelo de datos, los contratos de la API, los procesos ETL, el frontend, el portal de administración, la autenticación con Keycloak, los servicios espaciales con GeoServer y las prácticas de desarrollo. Está dirigida a desarrolladores, ingenieros de datos, equipos de operaciones y responsables de producto, facilitando la instalación, integración, configuración y evolución del ecosistema AClimate v3.","We are pleased to announce the release of the official AClimate v3.0 documentation, a comprehensive technical guide for understanding and working with the platform’s modular architecture. The documentation brings together system architecture, the data model, API contracts, ETL pipelines, the frontend, the administration portal, Keycloak authentication, GeoServer spatial services, and development practices in a single reference. It is intended for developers, data engineers, operations teams, and product stakeholders, making it easier to set up, integrate, configure, and evolve the AClimate v3 ecosystem.","18/8/2026","https://doc3.aclimate.org/","https://www.aclimate.org/static/media/Logo.4e27fd7d9947997ac1a2.png"
"Release of the Bulletin Builder documentation","Nos complace anunciar la publicación de la documentación de Bulletin Builder, una guía práctica para crear, gestionar, revisar y publicar boletines agroclimáticos desde la interfaz de la plataforma. La documentación acompaña a editores de contenido, diseñadores de plantillas, administradores, autores y revisores a través de todo el flujo de trabajo: gestión de recursos visuales y tarjetas reutilizables, diseño de plantillas, configuración de roles y grupos, creación de boletines, revisión colaborativa, exportación y publicación. Con instrucciones paso a paso y ejemplos visuales, la guía facilita la adopción de Bulletin Builder y la producción de boletines consistentes y adaptables a distintos contextos.","We are pleased to announce the publication of the Bulletin Builder documentation, a practical guide for creating, managing, reviewing, and publishing agroclimatic bulletins through the platform’s user interface. The documentation guides content editors, template designers, administrators, bulletin authors, and reviewers through the complete workflow: managing visual resources and reusable cards, designing templates, configuring roles and groups, creating bulletins, collaborative review, export, and publication. With step-by-step instructions and visual examples, the guide makes it easier to adopt Bulletin Builder and produce consistent, adaptable bulletins for different contexts.","18/8/2026","https://docsbulletin.aclimate.org/","https://docsbulletin.aclimate.org/assets/screenshots/bulletins-01-list.png"
